,index,1_10_www.google.com,1_1_www.google.com,1_2_www.google.com,1_3_www.google.com,1_4_www.google.com,1_5_www.google.com,1_6_www.google.com,1_7_www.google.com,1_8_www.google.com,1_9_www.google.com,2_10_www.google.com,2_1_www.google.com,2_2_www.google.com,2_3_www.google.com,2_4_www.google.com,2_5_www.google.com,2_6_www.google.com,2_7_www.google.com,2_8_www.google.com,3_10_www.google.com,3_2_www.google.com,3_5_www.google.com,3_6_www.google.com,3_8_www.google.com,3_9_www.google.com,4_10_www.google.com,4_1_www.google.com,4_2_www.google.com,4_3_www.google.com,4_4_www.google.com,4_5_www.google.com,4_6_www.google.com,4_7_www.google.com,4_8_www.google.com,4_9_www.google.com
0,1,0.0,-442.0,67.0,-48.0,67.0,67.0,-442.0,0.0,-48.0,67.0,67.0,67.0,-442.0,-48.0,-442.0,-48.0,-442.0,67.0,67.0,0.0,67.0,67.0,-442.0,67.0,67.0,67.0,-442.0,67.0,67.0,-115.0,67.0,-442.0,67.0,67.0,67.0
1,2,-146.39999999999995,1330.48,1704.68,109.72,893.9200000000003,1553.6,1330.8,-46.08,-176.52000000000004,1755.0,599.6000000000003,2548.8,2427.88,1667.3600000000022,2373.600000000001,4657.66,2633.02,1545.02,582.28,626.5,574.52,952.6800000000003,2664.7,1956.14,1497.9600000000007,1749.08,1422.12,335.88,102.51999999999941,317.16,1567.14,1327.32,510.96,1488.14,1602.6
2,3,-235.2,533.76,844.5200000000003,1543.8,1274.76,708.7200000000003,537.44,-236.16,1518.16,1350.0,5506.4000000000015,7244.2,6556.96,7148.88,5996.4,8125.559999999998,6572.08,4256.160000000004,1095.12,3262.0,787.0400000000002,3335.92,6573.36,3851.24,4609.24,1288.88,1495.9600000000012,255.76,1296.92,47.240000000000116,3024.1200000000013,525.84,1984.48,2584.32,688.36
3,4,-88.80000000000005,4478.44,2823.7200000000007,851.3800000000001,2290.7599999999984,4681.56,4178.079999999998,1509.9600000000007,680.4399999999998,2534.0,7034.599999999998,15995.800000000005,15117.88,15081.32,9101.600000000002,14646.46,14662.24,4429.800000000001,2293.3199999999993,6860.5,4026.0400000000022,9557.08,11268.800000000005,6811.86,7139.76,2477.5999999999995,4336.6,2009.3,2466.14,1738.48,4213.18,4468.96,3429.72,4570.42,4719.84
4,5,-212.40000000000012,4500.68,4637.52,2308.48,4687.48,6206.08,4444.36,577.7599999999999,4571.32,4728.0,16299.6,19589.4,17364.08,17098.6,16771.600000000002,23053.24,16818.84,6021.7199999999975,5742.32,13582.0,2779.5599999999995,15177.199999999986,26615.28,15759.68,8566.159999999996,4439.28,6998.04,1132.52,4767.08,3145.44,10056.56,4486.12,5053.84,7037.88,6479.040000000001
5,6,1692.5,6710.4,6675.4,4485.1,4289.799999999998,8291.799999999994,6924.6,3339.399999999997,4540.4,7212.0,35296.0,32901.0,33874.8,34408.399999999994,23457.0,27330.6,34165.3,15340.6,7940.6,27005.0,7002.499999999999,27950.8,29054.1,19182.3,12704.4,7177.6,5878.799999999998,2845.9,6767.1,4944.8,10599.799999999996,6774.6,7571.800000000002,10126.999999999996,6249.6
6,7,470.8000000000022,8200.52,7992.28,7153.52,6036.88,10054.68,8385.36,4380.279999999998,6109.56,7207.0,34859.19999999997,77208.4,35931.84,34077.04,41646.60000000001,42678.76,34607.039999999986,16577.92,9670.600000000008,34106.0,12982.400000000007,35518.76,55501.880000000056,31420.76,27153.68,7684.600000000004,12235.52,5009.88,8375.400000000001,7441.16,29275.44,5913.2800000000025,11145.04,12112.04,11656.0
7,8,4675.299999999998,11883.000000000002,12808.64,7200.38,8576.279999999999,13628.36,8479.8,6642.76,6935.800000000001,7397.0,49485.39999999986,90601.2,78810.87999999999,46064.31999999998,41248.6,49969.38,41983.22,18083.06,16411.360000000004,81159.0,17843.199999999993,79604.48,79393.82,38053.35999999999,25589.2,10460.44,19746.400000000005,7549.28,12427.56,6698.679999999998,27195.34,11788.84,27454.88,28208.34,12532.76
8,9,4207.800000000001,12301.32,21253.199999999968,7782.639999999998,10077.36,13915.719999999998,12592.68,6481.04,8223.759999999998,12564.0,88160.4,94120.6,85197.48,93566.64,47698.4,90956.60000000002,89718.88,22829.60000000008,18196.56,87505.0,19236.36,99772.63999999993,87680.96,76425.71999999996,65462.24,11985.320000000003,28110.24,7247.3200000000015,29189.32,12575.0,26047.480000000003,12436.16,25763.36,26459.96,28677.92
9,10,6624.4,42569.47999999999,82710.44,12623.28,10378.599999999997,74937.11999999991,12721.92,12621.28,9847.88,29224.0,88364.40000000002,93553.6,91308.92,94408.80000000003,97048.2,101749.80000000003,93262.16,33739.18,20535.84,86829.5,36674.98,133133.16,85353.54,88841.94,69637.52,26820.96,26615.48,10965.12,27930.42,12849.64,32717.039999999994,29392.08,24073.72,27546.06,27362.52
10,11,7592.0,82403.0,85590.8,12578.600000000002,14338.2,85783.2,40676.8,12232.2,11743.8,51534.0,90208.0,92868.0,88675.4,122213.8,100556.0,148665.4,90762.2,34411.399999999994,34231.4,83312.0,34524.6,139404.80000000002,95937.4000000001,91479.8,79908.2,25543.6,25331.4,10598.4,26264.4,29316.6,34192.4,28160.2,25378.4,29889.799999999992,25684.4
11,12,12437.999999999995,83599.24,85952.67999999996,57930.48000000009,14431.54,87189.96,69369.20000000001,48349.16,12449.44,82677.0,133878.8,116090.00000000016,88565.96,140802.08,100175.6,147890.74,95635.52,41141.68,34756.64,123571.0,36120.62,142990.52000000002,120575.9,94205.27999999996,81576.92,24268.84,29268.32,29439.48,28486.720000000005,28015.68,38852.54,28818.079999999984,27513.560000000023,34738.54,27975.320000000018
12,13,12958.4,83963.04,91624.12,81908.64,28694.6,93363.68,81968.36,82557.59999999999,49959.43999999992,83879.0,186602.6,150057.60000000006,180686.84,143281.08,97682.2,153266.52,128845.08,50141.36000000004,41182.360000000015,166324.0,69895.72000000003,145154.88,193919.48,95820.75999999997,82645.52,23212.279999999995,36693.959999999985,28328.44,31232.92,26475.56,73350.88,28699.279999999995,33068.6,64893.68,56823.56000000004
13,14,82658.59999999999,89563.16,92929.92,83629.06,63915.24000000001,94719.04,83727.36,86169.28,81340.36,83168.0,194329.4,197872.8,190835.44,166666.6800000002,123682.6,209464.88000000032,178539.92,85846.80000000003,59808.43999999992,174518.5,80858.24,202518.9199999997,232325.3,112420.06,83171.56,29053.16,66765.56,27134.42,33026.94,28056.92,172143.78,29642.2,35364.12,72839.82,78148.51999999999
14,15,82941.39999999997,92197.88000000002,93549.08,87225.72,84399.48,97738.84,85255.76,85739.92000000001,82750.96,85482.0,200053.8,205133.2,195504.32,290419.12,157063.2,335135.16,188188.36,89880.52000000002,84902.48,192021.0,88028.4,345564.91999999987,333335.88,144697.7999999999,84231.08,30764.48,72597.72,26313.32,54264.71999999998,29574.04,174935.80000000002,33380.48,67851.16000000003,127986.44000000016,95857.92
15,16,86040.5,93524.2,108682.99999999993,91522.3,85776.1,163381.99999999994,86776.6,91879.8,84540.2,93241.0,233824.0,236992.0,203736.2,381544.1,163437.0,386519.2,203770.3,93840.2,88154.59999999998,231940.5,92130.9,381996.2,371273.3,164470.1999999999,85012.8,64998.8,75057.8,25840.999999999996,76613.7,31498.4,186020.6,32956.0,114434.00000000006,173735.4,135182.80000000002
16,17,87588.4,95076.6,167327.2799999999,92992.48,85168.56,231978.4,92940.44,93330.64,86237.28,93775.0,298666.4,277015.2,219962.72000000012,381071.64,213306.4,395534.76,204723.28,92087.92,91743.12,263030.0,95660.12,385882.4,372217.48,205022.92,101742.83999999997,67689.48,99319.88000000006,56298.28000000003,79797.4,61911.44,184508.56,62833.80000000001,169929.28,177013.52,135529.6
17,18,91437.6,150784.04,230745.36000000004,93561.36,87359.54000000001,250045.44,93552.2,93180.08,89976.12000000002,93183.0,336531.2,346291.8,277319.84,388836.78,212214.2,397820.18,236813.08,90270.22,89976.64,343000.5,93919.62,389785.32,377543.02,203880.78,115660.15999999995,71454.44,172434.16,64892.66,150710.28,73820.28,183410.92,71296.44,174630.76,178751.78,172309.04
18,19,93304.2,181943.4,248466.24,97811.80000000002,92880.24,250228.76,124824.28,119219.59999999998,91861.44,128065.0,384180.59999999945,390239.80000000045,359648.5200000005,389936.04,259635.4,397695.48,303087.52,91261.2,87795.08,388150.0,94774.56,391645.32,377402.56,234080.2399999994,161438.59999999998,73456.76,175384.48,91256.95999999996,176048.24000000005,73457.48,186829.92,79283.2,176355.12,180300.12,178838.4
19,20,93857.1,219094.2,248275.88,155300.56000000006,94924.62,254921.6,164041.15999999995,168114.31999999995,92450.48,171924.0,391083.4,403602.8,390843.96,389622.26,299666.0,405077.46,378288.42,96525.72,104305.52000000002,393739.5,93149.16,397309.56,382491.52,317949.91999999987,171277.32,106738.88,177499.68,116840.62,176067.54,140719.24000000002,237304.27999999988,84219.87999999998,178847.56,181915.94,178542.56
20,21,129642.0,228474.2,300052.9999999998,221251.60000000003,97630.4,295412.3999999998,214886.20000000004,213301.59999999992,111479.99999999994,225512.0,398032.0,403725.0,396329.4,395288.8,335635.0,407466.6,397136.2,132972.4,126718.6,393302.0,98824.6,402109.6,386808.4,376082.4,187172.4,141360.4,179630.4,119189.0,177333.4,176203.40000000005,265365.8,137557.0,180360.8,190911.8,178872.0
21,22,200108.59999999992,245063.52000000005,312679.48,234269.08,99179.77999999998,322318.72,246687.28,247238.52,164915.23999999993,246589.0,401684.2,408805.8000000001,397092.52,399450.4,385124.2,496230.20000000007,400100.9,137121.42,162700.72,401232.5,100609.82,473472.64,392262.68,392852.62,185795.84,173382.84000000005,180329.08,123662.11999999994,178837.38,175703.04,268748.76,171581.48,185359.64,191928.36,183730.96
22,23,246903.8,248443.64,313914.04,248186.24,101759.96,321794.52,245929.92,248604.88,223521.64,245585.0,403196.0,407311.6,400449.44,429254.12,407348.8,615833.4,400335.72,141692.36,168686.88,402966.0,107129.08,482108.84,392893.8,398720.64,187339.84,173808.36,184317.56,157915.32,182326.8,181045.2,267634.48,174944.32,186311.44,192268.56,185538.04
23,24,248658.7,248292.64,315888.48,249545.8,135850.98,324016.36,248015.2,248246.16,245437.04,247827.0,423647.4,427899.6,403706.68,436748.00000000023,406577.6,623072.6799999999,403256.58,155779.44000000015,171105.36,404784.5,106869.46,509401.96,441742.6,395679.92,191100.44,175662.16,183276.6,172966.19999999998,183923.4,183430.88,268734.24,174966.24,186991.12,233652.6,184723.64
24,25,256040.99999999968,277080.3999999999,318998.44,312392.04,201240.63999999996,327191.56,269613.04,313092.8800000001,247130.92,312821.0,421976.8,425962.2,408485.08,441051.64,414805.2,653971.4,409135.76,196677.84,195438.5200000001,515169.0,136681.60000000015,530308.3999999999,594287.12,405009.52,198679.88,177398.68,215804.36,175933.16,208648.76,182985.72,272618.36,178362.56,190511.76,270277.88,186561.88
25,26,312925.5,312934.0,319710.0,313923.5,254904.5,329052.0,312960.0,314684.0,246664.0,314236.0,421536.0,424838.0,481213.0,539293.0,418960.0,701980.0,411993.0,202288.5,196996.0,614505.5,178503.0,571476.0,628346.5,409199.0,203378.0,178716.0,231634.0,175738.5,251576.5,182692.0,274161.5,180489.0,197950.0,268536.0,208686.0
26,27,314435.4,315585.04,318132.76,313383.24,254381.84,333999.84,314283.36000000004,314357.92,249771.0,313843.0,514982.1999999998,497419.00000000006,490691.4,650221.64,487030.2,814482.6,485343.84,207446.88,198168.56,625451.0,207395.52000000005,608889.24,637793.88,409764.16,202605.92,178714.44,258174.76,180017.84,256081.04,184916.44,276688.56,179633.04000000004,234381.56,272326.56,238113.9199999999
27,28,314131.6,316838.80000000005,326189.36,315600.34,255813.62,336628.88,313973.08,315967.64,255379.4399999999,315507.0,635695.7999999999,581877.4,489298.4,654916.8,636603.7999999999,905246.5200000005,483370.78,206821.22,196588.88,623781.0,211508.36000000007,625553.52,644979.02,548660.68,217999.56,177431.88,266495.44,180661.84000000003,254826.06,204124.84000000003,281977.4,183312.64,267341.88,278748.78,263104.08
28,29,316196.8,321727.92,331328.56,318848.76,271212.36000000004,376067.2,315696.52,319470.36,282500.64,319043.0,749800.9999999999,701910.0000000001,606403.8400000001,669107.12,783245.4,1055725.28,509285.2,234872.8000000001,200228.16,686500.0,212408.44,706427.7999999998,717634.76,618195.7999999999,237417.88,178919.84000000003,264928.16,180786.64,258813.16,257643.32,292395.72,182955.08,271513.68,278486.92,268572.72
29,30,318843.60000000003,327333.28,330737.76,319516.18,301622.35999999987,388798.12,314993.24,319614.68,317916.56,318920.0,813917.7999999996,754714.0,698932.32,667137.28,836424.7999999992,1167182.0400000005,511653.44,270556.4800000001,204426.88,857411.0,211339.74,821116.1999999998,720541.86,627715.42,276039.48,180846.88,266318.48,182482.42,261480.08,260736.12,291071.52,204973.95999999988,273537.84,280704.84,267299.04
30,31,320182.0,329459.8,330899.4,322742.8,320666.4,407488.4,318261.4,320012.0,319374.6,321273.0,964534.0,855582.0,705539.4,714553.6000000002,940896.0,1279112.8000000012,510220.8,305923.8,208939.4,965817.0,210838.40000000008,979035.7999999998,822025.8,629320.0,292818.4,181773.6,271267.4,185682.6,262680.2,261927.8,290263.2,254685.8,275069.0,285137.2,269708.60000000003
31,32,323219.3,331048.72,362642.79999999976,330814.02,322136.38,408899.8,322916.36,324494.16,319057.88,320672.0,1110994.8,1042877.8000000005,720053.28,792280.64,976505.2,1410317.5599999996,509578.18,371602.7200000001,209311.60000000003,1066791.0,216367.02,1087236.1199999994,943490.4400000005,650114.68,336261.4800000001,185962.92,272577.68,187794.8,264369.38,262893.96,289018.78,258361.88,280210.04,284345.06,272428.28
32,33,349811.3999999999,332233.8,400098.3999999999,334059.44,321800.12,408803.04,357568.76,326872.2,320762.56,324594.0,1196964.0,1245500.6000000006,741512.8800000001,928178.9200000005,978297.4,1588158.3200000003,569843.8400000001,377497.64,252633.56,1255693.0,247778.04,1223702.5999999992,1009947.08,648468.32,379573.72,185970.24,274049.64,212313.76,267771.68,262180.16,291014.32,259578.72,282801.4,293035.4,277125.16
33,34,373176.0,333627.6,403819.72,334019.78,323888.32,414984.24,384789.76,351541.64000000013,320753.2,332572.0,1280146.6,1403670.1999999995,836572.8000000002,1029444.2000000004,1057713.0000000002,1785714.080000001,696510.7999999998,394139.58,331817.8399999998,1374180.0,266300.0400000005,1335218.5199999998,1137758.44,649146.22,381279.8399999999,185461.04,275707.12,260526.22,271295.78,263942.88,293676.62,264945.48,289218.72,304731.92,276993.96
34,35,386448.6,358875.88000000006,405476.12,392000.52000000014,323146.60000000003,414597.96,384372.52,370301.48,323957.56,339146.0,1366489.0,1579249.0,866060.4,1112512.84,1193921.5999999996,1926811.8,743281.9599999995,398322.2,390178.5200000001,1549678.0,314336.32,1488004.2799999998,1220026.4800000002,754463.5599999997,395789.08,190141.08,275138.72,259440.44,273429.28,272839.24,348420.64,263676.96,288391.04,303956.92,281867.32
35,36,388357.5,397404.4,404958.8,398933.8,330485.8,416830.8,386699.6,380189.0,325016.2,338549.0,1496482.0,1689700.0,940058.4000000006,1155296.8,1276408.0,2094391.6000000003,850824.3999999998,400138.1,392339.2,1710391.0,368130.5,1566396.9999999998,1322141.1999999995,859385.7999999992,397022.2,194492.2,284000.4,260766.3,284566.8,275032.4,415275.6000000004,264473.80000000005,287336.6,303301.9,282860.8
36,37,389664.0,398827.28,411315.16,398528.44,330001.04,416342.92,387907.96,401092.16,327032.4,353450.0,1664314.1999999988,1800930.2,1084140.4,1241808.8,1474496.2,2211459.360000001,939896.64,400674.12,398461.8,1904570.0,402149.76000000007,1690347.16,1471021.8,934210.56,399026.88,194371.88,285225.92,261014.12,283773.56,276826.76,462222.76,266970.88,289319.64,301922.32,281796.32
37,38,392389.5,400567.44,410994.52,400280.94,338011.19999999995,419813.72,396249.28,402798.84,334844.36,393638.0,1865659.8,1945271.6,1182603.4000000004,1348102.96,1583371.6,2350787.4,1039089.04,401764.56,399582.84,2079167.0,405952.68,1805890.04,1610956.760000001,1056515.16,405525.36,196405.2,284451.36,264205.46,283233.86,281115.3999999998,468068.22,270866.96,313712.88000000024,305666.92,282372.48
38,39,399264.5999999999,400371.92,412175.36,399705.04,339849.2,433981.64,400023.16,404437.6,334344.08,401632.0,1973637.8,2090070.8,1292580.12,1610050.3200000003,1763346.4,2429284.8800000004,1147895.72,405114.44,401499.8000000001,2124263.0,407862.32,1967647.719999998,1730756.239999999,1099636.8,404317.24,264483.56,283453.24,266731.56,282065.48,305038.72000000003,473424.71999999974,273208.16,369114.0000000004,306211.76,321600.2000000002
39,40,400695.9,401946.72,412959.32,405218.32,341951.3,436024.76,400786.16,406089.2,336370.16,403836.0,2096806.9999999998,2104992.0,1450180.4400000004,1739996.6400000008,1849136.8,2572275.640000001,1328240.16,406923.12000000005,408186.92,2231464.0,409835.42,2114491.079999998,1856619.4,1204160.5199999993,404573.64,270249.68,285754.92,266303.24,285020.28,306174.19999999995,488012.86,273216.92,434052.04000000044,328565.6000000001,361756.8800000003
40,41,403800.0,404589.2,415940.4,405732.8000000001,354659.6000000001,485841.5999999993,402124.0,407122.4,354385.2,404863.0,2105666.0,2132179.0,1642015.4,1949674.2000000016,1921037.0,2672667.4000000013,1463333.6000000003,408692.6,414913.8,2335347.0,416352.2,2259355.5999999987,2077688.4,1292794.9999999998,443688.0,273314.6,287893.2,268083.2,286440.2,308145.6,489635.6,276385.2,453911.6,393798.4,428024.00000000006
41,42,404620.9,405489.64,419393.08,407300.94,384404.52000000025,490108.96,406550.12,407875.48,405974.48,408660.0,2131549.2,2134783.2,1749620.88,2151329.8000000003,2040205.8,2795200.04,1628831.9200000004,411830.08,417849.92,2364273.5,415431.2,2329391.0,2158122.24,1381074.2,510120.87999999936,277022.6,303131.48000000004,270573.52,312624.81999999995,307231.04,492329.74,275855.96,459189.84,418266.34,450761.48
42,43,407969.4,405619.44,425181.84,407651.08,405153.64,489579.76,407050.04,411056.56,407510.84,408779.0,2134260.6,2135309.6,1915469.5200000003,2228458.920000001,2159108.4,2802283.52,1840468.480000001,410851.32,416909.6,2429693.0,414989.72,2348219.28,2318856.2,1421766.08,570691.2,280018.36,315397.24,271667.12,356069.5200000001,316769.75999999983,494187.28,275193.76,464804.72,473877.52,456472.56
43,44,409109.7,408553.2,424338.28,408480.8000000001,406949.62,493307.4,408258.84,412026.32,407038.48,408933.0,2138879.0,2157611.8,2034987.6,2389092.2800000003,2307354.6,2832412.62,2064750.9200000009,429983.6000000002,419471.68,2475027.0,450431.36,2352667.76,2460260.8000000003,1530269.239999999,604501.5199999997,279301.04,355397.64000000025,279023.2,405255.75999999966,385318.44,496014.02,275926.96,476806.88000000006,475159.02,456900.16
44,45,409248.0,409632.48,455929.1199999996,411040.04,408529.12,496563.96,408368.84,411319.72,408645.52,411924.0,2160667.2,2173317.6,2152224.84,2492305.44,2429412.9999999995,2835632.76,2142209.44,503306.3200000005,501117.79999999993,2478291.0,515058.2,2359063.84,2617781.48,1698848.0799999996,663971.9599999997,279355.44,385573.56,281234.28,431304.44,448197.79999999976,497383.16,313860.28,484887.96,481280.44,459603.0
45,46,412794.5,411751.6,491568.4,424778.00000000006,408952.9,497465.2,410673.6,417914.4,409065.4,412822.0,2178872.0,2184559.0,2283331.600000001,2530941.7,2595573.0,2857066.1,2148055.7,610604.4,592998.6000000003,2478648.0,587038.8,2377406.2,2737058.4,1860635.6,686457.6,313706.40000000014,424937.6,280574.8,433451.3,454462.2,500606.9,335052.6000000004,487255.8,488873.6,478503.6
46,47,444942.2,412356.24,492724.28,427420.68,413990.76,497470.56,436194.64,416885.56,413920.8,414478.0,2184415.0,2188524.6,2369370.08,2539933.72,2683830.2,2861410.84,2165588.76,622455.7200000001,654313.6,2503204.0,663188.92,2381925.04,2738922.72,1980637.04,695827.0,363051.64,439321.44,281087.4,435257.92,454870.24,516900.48,360330.2,489684.92,502568.92,477413.64
47,48,463657.1,461383.8399999999,492593.44,459139.92000000033,414177.44,500303.44,447342.4,433448.96,414535.24,417778.0,2190935.6,2191697.2,2408105.2,2560406.12,2688865.8,2880455.46,2172134.62,623283.42,693727.16,2507483.5,695779.54,2384639.96,2743762.82,2099582.2,696859.5599999999,409147.55999999976,454652.36,305322.8,437874.78,457660.16,522211.28,369564.2,490371.12000000005,501920.98,479022.16
48,49,464912.4,465451.16,494288.36,479376.56,415001.72,501761.84,462775.92,482512.8000000004,415146.32,420790.0,2194866.4,2195633.6,2467938.76,2562905.44,2696272.4,2883740.44,2175625.32,695730.84,699148.76,2527288.0,697805.96,2388476.08,2767075.76,2153803.6,697182.8400000001,421878.8000000001,463415.56,353669.55999999976,463634.44,476259.0,525778.68,375333.08,491742.12,503457.48,481701.12
49,50,464696.9,465936.32,494256.68,481091.38,416264.52,502975.67999999993,464512.16,485485.72,416216.28,423069.0,2195393.2,2196307.8,2484579.52,2564592.04,2701243.0,2886058.04,2176467.76,698764.7200000001,702970.52,2531455.5,697228.4,2392504.16,2769098.4,2174848.02,719414.1599999998,428990.08,464937.04,413712.7,465123.46,475493.84,528003.16,441692.96000000014,491707.56,506670.26,482081.76
